FR,EN
ainsi que,as well as
la volonte,willingness
agir,to act
enchainer,chain
face à face,face to face
puis,then
la recherche,the research
le niveau,level
rarement,rarely
atteint,hit
tâche,task
fondamentale,fundamental
parvenir,reach
tandis,while
plaider,plead
en faveur,in favour
en contre,against
lors de,during
malgré,despite
un conflit,a conflict
soutient,argue
dont,of which
donc,so
exigences,requirements
une désescalade,de-escalation
l'amorce,primer
aucun,any
s'engager,to commit
prévoir,to expect
provoquer,to provoke
les accusations,the accusations
imminente,imminent
selon,according to
souligner,underline
propagande,propaganda
lancer,to throw
en encourageant,encouraging
affronter,confront
depuis,since
quitter,leave
ressortissants,citizens
deconseiller,advise against
annoncer,announce
preoccupante,worker
se deteriorer,deteriorate
exclure,exclude
accrues,increased
prevenant,acting
jugeant,judging
soit,that is
potentielle,potential
en reponse,in response
craindre,to fear
promettre,to promise
nationale ,national
discours a charge,dependent speech
concluir,conclude
poursuivre ,to chase
tenter,to attempt
ceder,to sell
subir,undergo
un prix,a price
un jury,a jury
récompenser,reward
une écrivaine,a writer
un roman,a novel
un livre,a book
intituler,title
paraître,appear
une édition,an edition
une éditrice,An editor 
une auteure,author
un portrait,a portrait
biographique,biographical
un récit,a story
une écriture,a writing
une lecture,a lecture
un coup de cœur,A favorite
bouleversante, upsetting
un choc,a shock
une colère,an anger
un chagrin,a sadness
un rejet,a reject
renversante, stunning
la douleur,pain
lumineuse, bright
vive,vivid
éblouissante,dazzling
mort, death
né,born
un décès,a death
un pionnier,a pioneer
élevé,high
un quartier,a neighborhood
une famille,a family
un immigrant,immigrant
un étudiant,student
nommé, named
un poste,a position
un rapport,report
un document,a document
une réputation,a reputation
un parti,a party
un soutien,A support
un hommage,a tribute
un général, a general
un soldat,a soldier
blessé,injured
une hiérarchie,a hierarchy
militaire,military
superviser,oversee
une opération,an operation
une guerre,a war
une arme,a weapon
Ailleurs,Elsewhere
le tabac,the tobacco
la nocivité,harmfulness
la dangerosité,the danger
nuisible,harmful
dangereux,dangerous
favoriser la division,promote the division
les pensées suicidaires,Suicidal thoughts
les troubles alimentaires,Food disorders
l'anorexie,anorexia
désastreux,disastrous
mauvais,bad
une audition,an audition
être auditionné(e),be auditioned
être entendu(e),be heard
faire fuiter,fuddle
crucial,crucial
réagir,react
un service,a service
un réseau social,A social network
un dispositif,a device
un algorithme,an algorithm
